,index,files,repo
617,172,.corpus.custom.bs.results.ntmaj10hserv.rds,dataverse_datasets
618,172,.corpus.minimal.bs.results.Onethirdsupportgifts.rds,dataverse_datasets
619,172,.corpus.standard.bs.results.Onethirdsupportpublic.rds,dataverse_datasets
620,172,.corpus.custom.bs.results.Orgpurposescientific.rds,dataverse_datasets
621,172,.corpus.minimal.bs.results.ntmaj10rel.rds,dataverse_datasets
622,172,.corpus.standard.bs.results.Orgpurposeliterary.rds,dataverse_datasets
623,172,.corpus.custom.bs.results.Donatefundsyes.rds,dataverse_datasets
624,172,.corpus.custom.bs.results.Orgpurposecharitable.rds,dataverse_datasets
625,172,.corpus.custom.bs.results.Disasterreliefyes.rds,dataverse_datasets
626,172,.corpus.custom.bs.results.ntmaj10rel.rds,dataverse_datasets
627,172,.corpus.standard.bs.results.ntmaj10public.rds,dataverse_datasets
628,172,.corpus.minimal.bs.results.Onethirdsupportpublic.rds,dataverse_datasets
629,172,.corpus.minimal.bs.results.Orgpurposecharitable.rds,dataverse_datasets
630,172,.corpus.standard.bs.results.ntmaj10env.rds,dataverse_datasets
631,172,.corpus.minimal.bs.results.ntmaj10int.rds,dataverse_datasets
632,172,.corpus.standard.bs.results.ntmaj10edu.rds,dataverse_datasets
633,172,.corpus.standard.bs.results.ntmaj10hserv.rds,dataverse_datasets
634,172,.corpus.minimal.bs.results.Orgpurposescientific.rds,dataverse_datasets
635,172,.corpus.custom.bs.results.ntmaj10health.rds,dataverse_datasets
636,172,.corpus.minimal.bs.results.Orgpurposecrueltyprevention.rds,dataverse_datasets
637,172,.corpus.minimal.bs.results.ntmaj10mutual.rds,dataverse_datasets
638,172,.corpus.standard.bs.results.Donatefundsyes.rds,dataverse_datasets
639,172,.corpus.standard.bs.results.ntmaj10mutual.rds,dataverse_datasets
640,172,.corpus.standard.bs.results.ntmaj10rel.rds,dataverse_datasets
641,172,.corpus.custom.bs.results.Onethirdsupportgifts.rds,dataverse_datasets
642,172,.corpus.custom.bs.results.ntmaj10int.rds,dataverse_datasets
643,172,.corpus.minimal.bs.results.ntmaj10art.rds,dataverse_datasets
644,172,.corpus.standard.bs.results.ntmaj10int.rds,dataverse_datasets
645,172,.corpus.custom.bs.results.ntmaj10mutual.rds,dataverse_datasets
646,172,.corpus.custom.bs.results.ntmaj10unknown.rds,dataverse_datasets
647,172,.corpus.minimal.bs.results.Orgpurposeeducational.rds,dataverse_datasets
648,172,.corpus.minimal.bs.results.ntmaj10edu.rds,dataverse_datasets
649,172,.corpus.minimal.bs.results.Donatefundsyes.rds,dataverse_datasets
650,172,.corpus.standard.bs.results.Orgpurposescientific.rds,dataverse_datasets
651,172,.corpus.custom.bs.results.Onethirdsupportpublic.rds,dataverse_datasets
652,172,.corpus.minimal.bs.results.ntmaj10unknown.rds,dataverse_datasets
653,172,.corpus.custom.bs.results.ntmaj10env.rds,dataverse_datasets
654,172,.corpus.minimal.bs.results.Orgpurposepublicsafety.rds,dataverse_datasets
655,172,.corpus.standard.bs.results.ntmaj10unknown.rds,dataverse_datasets
656,172,.corpus.standard.bs.results.ntmaj10health.rds,dataverse_datasets
657,172,.corpus.minimal.bs.results.ntmaj10env.rds,dataverse_datasets
658,172,.corpus.custom.bs.results.Orgpurposepublicsafety.rds,dataverse_datasets
659,172,.corpus.standard.bs.results.Onethirdsupportgifts.rds,dataverse_datasets
660,172,.corpus.standard.bs.results.ntmaj10art.rds,dataverse_datasets
661,173,.tab,dataverse_datasets
662,174,.zip,dataverse_datasets
663,175,.type_biome00k.cool.mixed.forest_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
664,175,.tree.sp_eu.forest00k.quercus.ilex_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
665,175,.v.apr_u.975_1km_s0..0cm_2014..2017_v0.1.tif,dataverse_datasets
666,175,.tree.sp_eu.forest00k.acer.pseudoplatanus_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
667,175,.v.oct_d_1km_s0..0cm_2014..2017_v0.1.tif,dataverse_datasets
668,175,.tree.sp_eu.forest00k.fraxinus.angustifolia_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
669,175,.tree.sp_eu.forest00k.prunus.padus_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
670,175,.v.sep_u.975_1km_s0..0cm_2014..2017_v0.1.tif,dataverse_datasets
671,175,.type_biome00k.steppe_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
672,175,.v.jun_sd_1km_s0..0cm_2014..2017_v0.1.tif,dataverse_datasets
673,175,.tree.sp_eu.forest00k.larix.decidua_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
674,175,.type_biome00k.erect.dwarf.shrub.tundra_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
675,175,.tree.sp_eu.forest00k.populus.tremula_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
676,175,.type_biome00k.tropical.savanna_p_1km_s0..0cm_2000..2017_v0.1.tif,dataverse_datasets
